Date,Session,Type,Purge_Time,Revert_Time
2022-07-19,London,Purge Low,2022-07-19 03:44:00-04:00,2022-07-19 03:45:00-04:00
2022-07-21,London,Purge High,2022-07-21 02:00:00-04:00,2022-07-21 02:32:00-04:00
2022-07-22,London,Purge High,2022-07-22 03:15:00-04:00,2022-07-22 03:15:00-04:00
2022-07-25,London,Purge High,2022-07-25 04:08:00-04:00,2022-07-25 04:09:00-04:00
2022-07-26,London,Purge Low,2022-07-26 06:37:00-04:00,2022-07-26 06:37:00-04:00
2022-07-27,London,Purge High,2022-07-27 04:07:00-04:00,2022-07-27 04:18:00-04:00
2022-07-29,London,Purge High,2022-07-29 02:25:00-04:00,2022-07-29 02:25:00-04:00
2022-08-02,London,Purge Low,2022-08-02 03:06:00-04:00,2022-08-02 03:48:00-04:00
2022-08-03,London,Purge High,2022-08-03 02:00:00-04:00,2022-08-03 02:44:00-04:00
2022-08-04,London,Purge High,2022-08-04 03:30:00-04:00,2022-08-04 03:31:00-04:00
2022-08-08,London,Purge High,2022-08-08 02:00:00-04:00,2022-08-08 02:01:00-04:00
2022-08-09,London,Purge Low,2022-08-09 05:56:00-04:00,2022-08-09 06:03:00-04:00
2022-08-10,London,Purge Low,2022-08-10 02:00:00-04:00,2022-08-10 03:02:00-04:00
2022-08-11,London,Purge High,2022-08-11 02:38:00-04:00,2022-08-11 03:04:00-04:00
2022-08-15,London,Purge Low,2022-08-15 03:10:00-04:00,2022-08-15 03:11:00-04:00
2022-08-16,London,Purge High,2022-08-16 04:38:00-04:00,2022-08-16 04:38:00-04:00
2022-08-17,London,Purge Low,2022-08-17 02:37:00-04:00,2022-08-17 02:44:00-04:00
2022-08-18,London,Purge Low,2022-08-18 02:30:00-04:00,2022-08-18 03:11:00-04:00
2022-08-19,London,Purge Low,2022-08-19 02:36:00-04:00,2022-08-19 02:36:00-04:00
2022-08-22,London,Purge Low,2022-08-22 02:02:00-04:00,2022-08-22 02:20:00-04:00
2022-08-23,London,Purge Low,2022-08-23 02:00:00-04:00,2022-08-23 03:41:00-04:00
2022-08-24,London,Purge Low,2022-08-24 03:33:00-04:00,2022-08-24 03:34:00-04:00
2022-08-25,London,Purge High,2022-08-25 02:00:00-04:00,2022-08-25 02:00:00-04:00
2022-08-29,London,Purge High,2022-08-29 03:03:00-04:00,2022-08-29 03:09:00-04:00
2022-08-30,London,Purge High,2022-08-30 02:00:00-04:00,2022-08-30 02:10:00-04:00
2022-09-01,London,Purge Low,2022-09-01 02:25:00-04:00,2022-09-01 02:27:00-04:00
2022-09-06,London,Purge High,2022-09-06 03:15:00-04:00,2022-09-06 03:16:00-04:00
2022-09-08,London,Purge High,2022-09-08 02:04:00-04:00,2022-09-08 02:05:00-04:00
2022-09-12,London,Purge High,2022-09-12 04:42:00-04:00,2022-09-12 04:52:00-04:00
2022-09-13,London,Purge High,2022-09-13 02:02:00-04:00,2022-09-13 03:09:00-04:00
2022-09-16,London,Purge Low,2022-09-16 02:00:00-04:00,2022-09-16 02:02:00-04:00
2022-09-19,London,Purge Low,2022-09-19 02:00:00-04:00,2022-09-19 02:34:00-04:00
2022-09-21,London,Purge Low,2022-09-21 02:00:00-04:00,2022-09-21 02:04:00-04:00
2022-09-23,London,Purge Low,2022-09-23 02:01:00-04:00,2022-09-23 02:01:00-04:00
2022-09-26,London,Purge High,2022-09-26 03:23:00-04:00,2022-09-26 03:25:00-04:00
2022-09-26,London,Purge Low,2022-09-26 02:00:00-04:00,2022-09-26 02:03:00-04:00
2022-09-27,London,Purge High,2022-09-27 02:00:00-04:00,2022-09-27 02:01:00-04:00
2022-09-28,London,Purge Low,2022-09-28 03:13:00-04:00,2022-09-28 03:16:00-04:00
2022-10-03,London,Purge High,2022-10-03 02:07:00-04:00,2022-10-03 02:07:00-04:00
2022-10-06,London,Purge Low,2022-10-06 04:44:00-04:00,2022-10-06 04:44:00-04:00
2022-10-07,London,Purge Low,2022-10-07 02:24:00-04:00,2022-10-07 02:48:00-04:00
2022-10-10,London,Purge High,2022-10-10 03:24:00-04:00,2022-10-10 03:25:00-04:00
2022-10-11,London,Purge Low,2022-10-11 02:55:00-04:00,2022-10-11 03:19:00-04:00
2022-10-12,London,Purge High,2022-10-12 02:15:00-04:00,2022-10-12 02:15:00-04:00
2022-10-13,London,Purge Low,2022-10-13 02:00:00-04:00,2022-10-13 02:02:00-04:00
2022-10-18,London,Purge High,2022-10-18 02:16:00-04:00,2022-10-18 02:17:00-04:00
2022-10-19,London,Purge Low,2022-10-19 02:00:00-04:00,2022-10-19 02:10:00-04:00
2022-10-21,London,Purge Low,2022-10-21 04:31:00-04:00,2022-10-21 04:33:00-04:00
2022-10-24,London,Purge Low,2022-10-24 02:14:00-04:00,2022-10-24 02:14:00-04:00
2022-10-25,London,Purge High,2022-10-25 02:04:00-04:00,2022-10-25 02:04:00-04:00
2022-10-26,London,Purge High,2022-10-26 03:20:00-04:00,2022-10-26 03:20:00-04:00
2022-10-27,London,Purge Low,2022-10-27 05:06:00-04:00,2022-10-27 05:09:00-04:00
2022-10-28,London,Purge Low,2022-10-28 02:00:00-04:00,2022-10-28 06:34:00-04:00
2022-10-31,London,Purge Low,2022-10-31 04:05:00-04:00,2022-10-31 04:06:00-04:00
2022-11-01,London,Purge High,2022-11-01 06:01:00-04:00,2022-11-01 06:01:00-04:00
2022-11-03,London,Purge Low,2022-11-03 04:53:00-04:00,2022-11-03 04:55:00-04:00
2022-11-08,London,Purge High,2022-11-08 05:06:00-05:00,2022-11-08 05:19:00-05:00
2022-11-14,London,Purge Low,2022-11-14 04:10:00-05:00,2022-11-14 04:13:00-05:00
2022-11-16,London,Purge High,2022-11-16 02:00:00-05:00,2022-11-16 04:31:00-05:00
2022-11-17,London,Purge Low,2022-11-17 04:32:00-05:00,2022-11-17 05:24:00-05:00
2022-11-18,London,Purge High,2022-11-18 05:41:00-05:00,2022-11-18 05:41:00-05:00
2022-11-18,London,Purge Low,2022-11-18 02:00:00-05:00,2022-11-18 02:17:00-05:00
2022-11-21,London,Purge Low,2022-11-21 02:43:00-05:00,2022-11-21 02:43:00-05:00
2022-11-22,London,Purge Low,2022-11-22 02:00:00-05:00,2022-11-22 02:47:00-05:00
2022-11-23,London,Purge High,2022-11-23 02:47:00-05:00,2022-11-23 02:48:00-05:00
2022-11-24,London,Purge High,2022-11-24 02:30:00-05:00,2022-11-24 02:33:00-05:00
2022-11-25,London,Purge Low,2022-11-25 03:48:00-05:00,2022-11-25 03:49:00-05:00
2022-11-28,London,Purge Low,2022-11-28 04:52:00-05:00,2022-11-28 04:52:00-05:00
2022-11-29,London,Purge High,2022-11-29 03:22:00-05:00,2022-11-29 03:22:00-05:00
2022-12-05,London,Purge Low,2022-12-05 02:08:00-05:00,2022-12-05 03:51:00-05:00
2022-12-06,London,Purge Low,2022-12-06 02:00:00-05:00,2022-12-06 02:37:00-05:00
2022-12-07,London,Purge Low,2022-12-07 02:00:00-05:00,2022-12-07 02:00:00-05:00
2022-12-09,London,Purge High,2022-12-09 02:00:00-05:00,2022-12-09 02:12:00-05:00
2022-12-12,London,Purge High,2022-12-12 02:42:00-05:00,2022-12-12 02:42:00-05:00
2022-12-13,London,Purge High,2022-12-13 02:00:00-05:00,2022-12-13 02:00:00-05:00
2022-12-16,London,Purge Low,2022-12-16 02:21:00-05:00,2022-12-16 02:21:00-05:00
2022-12-19,London,Purge High,2022-12-19 03:10:00-05:00,2022-12-19 04:40:00-05:00
2022-12-22,London,Purge High,2022-12-22 03:19:00-05:00,2022-12-22 03:19:00-05:00
2022-12-27,London,Purge Low,2022-12-27 04:19:00-05:00,2022-12-27 04:19:00-05:00
2023-01-03,London,Purge High,2023-01-03 03:45:00-05:00,2023-01-03 06:42:00-05:00
2023-01-05,London,Purge High,2023-01-05 05:21:00-05:00,2023-01-05 05:21:00-05:00
2023-01-05,London,Purge Low,2023-01-05 03:39:00-05:00,2023-01-05 03:39:00-05:00
2023-01-06,London,Purge Low,2023-01-06 02:32:00-05:00,2023-01-06 02:33:00-05:00
2023-01-09,London,Purge High,2023-01-09 04:44:00-05:00,2023-01-09 04:51:00-05:00
2023-01-09,London,Purge Low,2023-01-09 03:01:00-05:00,2023-01-09 03:01:00-05:00
2023-01-10,London,Purge High,2023-01-10 03:24:00-05:00,2023-01-10 03:24:00-05:00
